,price,region,postal_code,baths,beds,sqft,lot_size,year_built
0,40000.0,SC,29044,-,,-,,
1,415000.0,NY,11354,1,2.0,-,,
2,240950.0,TX,79928,3,4.0,"1,687",,
3,466995.0,OR,97756,2,4.0,"1,979",,
4,489900.0,IL,60610,2,2.0,"1,550",,
5,1175000.0,MO,63069,6,4.0,"5,231",,
6,1299000.0,NY,11209,1.5,3.0,"1,842",,
7,484900.0,TN,37110,2.5,3.0,"2,238",,
8,10400000.0,MD,21648,-,,-,,
9,239900.0,DE,19963,2.5,3.0,"1,571",,
10,5800000.0,CA,91789,-,,-,,
11,15000.0,AL,36526,-,,-,,
12,139000.0,OH,45344,1,3.0,925,,
13,950000.0,MA,1519,2.5,4.0,"4,421",,
14,324000.0,AL,36602,2,2.0,"1,330",,
15,599000.0,OH,45404,2,3.0,"1,200",,
16,150000.0,PA,19607,1,2.0,998,,
17,225900.0,AL,35016,2,3.0,"1,561",,
18,465501.0,GA,30107,2.5,4.0,"2,753",,
19,580633.0,CO,80104,2,4.0,"1,740",,
20,5900.0,WI,53941,-,,-,,
21,995000.0,AZ,85935,4,6.0,"3,508",,
22,144900.0,KY,41040,2,3.0,"1,920",,
23,299000.0,TX,75219,2,2.0,"1,178",,
24,255000.0,AR,72530,-,,-,,
25,899000.0,CA,95949,3,4.0,"3,307",,
26,320000.0,PA,19148,1.5,4.0,"1,400",,
27,,NY,11215,-,,-,,
28,35000.0,MI,48433,-,0.0,-,,
29,79900.0,SC,29566,-,,-,,
30,1650000.0,MN,55424,5,5.0,"4,400",,
31,895000.0,VA,24134,5,4.0,"3,990",,
32,657700.0,TX,77304,3,4.0,"3,189",,
33,248000.0,OR,97739,-,0.0,-,,
34,815000.0,OR,97760,2,3.0,"1,844",,
35,495000.0,AR,72223,-,,-,,
36,106000.0,PA,18508,1,1.0,800,,
37,370000.0,KY,40223,2,3.0,"2,304",,
38,184900.0,WI,54914,1.5,2.0,"1,314",,
